molecule_chembl_id,bioactivity_class,pIC50,canonical_smiles,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL5821675,active,6.519274621011513,C#CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cc(O)cc(c3)-c3ccc4c(c3)c(c(-c3cnccc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,902.1059999999994,5.416300000000006,3.0,10.0
CHEMBL5979784,active,7.173925197299173,C#CCNc1cccc(F)c1-c1nc2c(cc1Cl)c(N1C[C@@H](C)N(C(=O)C=C)C[C@@H]1C)nc(=O)n2-c1c(C)ccnc1C(C)C,628.1520000000002,5.7237200000000055,1.0,7.0
CHEMBL5930957,active,8.795880017344075,C#CCc1ccc(O)cc1-c1ncc2c(N3CC4CCC(C3)N4)nc(OCC34CCCN3CCC4)nc2c1F,528.6320000000005,3.660000000000002,2.0,8.0
CHEMBL5969896,inactive,5.2777775360302694,C#CCn1c(-c2cccnc2[C@H](C)OC)c2c3cc(ccc31)-c1cccc(c1)C[C@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@H]1CCN(C(=O)C=C)C1)C(=O)N1CCC[C@H](N1)C(=O)OCC(C)(C)C2,898.1179999999994,5.876800000000006,2.0,9.0
CHEMBL5612217,active,8.701146923590294,C#Cc1c(F)ccc2cc(N)cc(-c3ncc4c(N(C)[C@H]5C[C@@H]5F)nc(OCC56CCCN5CC(=C)C6)nc4c3F)c12,570.6190000000004,5.4066000000000045,1.0,7.0
CHEMBL5612083,active,9.39254497678533,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N(C)[C@H]5C[C@@H]5F)nc(OCC56CCCN5CC(=C)C6)nc4c3F)c12,571.6030000000004,5.530000000000005,1.0,7.0
CHEMBL5612889,active,9.430626090384955,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N(C)[C@H]5C[C@@H]5F)nc(OCC56CCCN5CC(=C)C6)nc4c3F)c12,571.6030000000004,5.530000000000005,1.0,7.0
CHEMBL5611970,active,9.60906489289662,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N(C)[C@H]5C[C@@H]5F)nc(OC[C@@]56CCCN5CC(=C)C6)nc4c3F)c12,571.6030000000004,5.530000000000005,1.0,7.0
CHEMBL5612981,active,8.705533773838408,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N(C)[C@H]5C[C@@H]5F)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,577.5820000000003,5.311900000000004,1.0,7.0
CHEMBL5613663,active,9.229884705212898,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N(C)[C@H]5C[C@@H]5F)nc(OC[C@]56CCCN5CC(=C)C6)nc4c3F)c12,571.6030000000004,5.530000000000005,1.0,7.0
